actorid,address,amount,city,country,lastupdateactor,replacementcost,lastnameactor,customerid,inventoryid,length,rentduration,custompayment,districtaddess,lastnamecustom,countrycustomer
59,475-6533 Eget Av.,0.99,Anpolis,Czech Republic,51:32.5,15.99,BRIDGES,51,10,86,3,1,Rabat-Sal-Zammour-Z,BARBEE,France
103,"P.O. Box 223, 2783 Commodo Road",0.99,Antofagasta,Dominican Republic,56:20.2,12.99,BRODY,52,10,179,7,1,Liepaja,BARCLAY,Italy
181,"9161 Non, Ave",2.99,Aparecida de Goinia,Ecuador,48:56.6,16.99,BRODY,53,10,91,5,1,Crdoba,BARFIELD,Portugal
200,9093 Curabitur Street,0.99,Apeldoorn,Egypt,33:35.1,11.99,BULLOCK,54,11,168,5,1,Sind,BARKLEY,Spain
21,8072 Pede Avenue,1.99,Araatuba,Estonia,58:31.6,27.99,CAGE,56,11,82,4,1,,BARNES,Spain
23,7234 Odio. St.,2.99,Arak,Ethiopia,32:57.1,16.99,CAGE,58,12,92,5,1,Southern Mindanao,BARNETT,Brazil
62,"P.O. Box 744, 1543 A Rd.",5.99,Arecibo,Faroe Islands,57:27.9,11.99,CARREY,59,12,119,6,1,Bihar,BARRETT,USA
108,"131-1780 Aliquet, Rd.",4.99,Arlington,Finland,32:03.7,15.99,CHAPLIN,60,13,153,5,2,Yamaguchi,BATES,Venezuela
137,"486-7015 Ullamcorper, Road",2.99,Ashdod,France,59:11.3,29.99,CHASE,62,13,62,6,2,Taipei,BAUGH,Brazil
169,Ap #776-3657 Lorem St.,2.99,Ashgabat,French Guiana,43:24.5,24.99,CHASE,63,14,147,4,2,West Bengali,BAUGHMAN,Venezuela
197,656-6302 A Rd.,6.99,Ashqelon,French Polynesia,31:10.0,12.99,CLOSE,67,14,127,7,2,Uttar Pradesh,BELL,USA
99,202-2164 Sapien. Road,4.99,Asuncin,Gambia,36:28.8,28.99,COSTNER,68,14,121,3,2,Piemonte,BENNER,Ireland
133,Ap #264-2449 Vitae Rd.,5.99,Athenai,Germany,51:36.1,25.99,CRAWFORD,71,14,68,6,2,Okayama,BENNETT,UK
162,2831 Phasellus Av.,5.99,Atinsk,Greece,42:26.5,10.99,CRAWFORD,74,14,99,5,2,Midi-Pyrnes,BERRY,Germany
170,"Ap #336-2276 Elementum, Avenue",5.99,Atlixco,Greenland,58:54.8,22.99,CRONYN,78,15,148,4,2,Markazi,BESS,France
185,"P.O. Box 252, 6081 Accumsan Avenue",2.99,Augusta-Richmond County,Holy See (Vatican City State),36:03.6,17.99,CRONYN,79,15,137,4,2,Henan,BETANCOURT,France
55,516-7988 Elit Rd.,5.99,Aurora,Hong Kong,32:12.1,10.99,CROWE,80,15,170,5,2,Chisinau,BILLINGSLEY,Canada
96,5324 Nunc St.,4.99,Avellaneda,Hungary,44:31.0,15.99,CRUISE,81,16,170,6,2,Esprito Santo,BISHOP,USA
110,"Ap #649-4811 Tempor, Avenue",10.99,Bag,India,32:45.3,21.99,CRUZ,82,16,113,5,2,Oriental,BLACK,Germany
138,Ap #411-5982 Fusce Av.,0.99,Baha Blanca,Indonesia,58:38.1,14.99,DAMON,83,16,83,5,2,Yerevan,BLAKELY,USA
10,457-1981 Nec Rd.,6.99,Baicheng,Iran,45:33.3,13.99,DAVIS,87,17,108,3,2,Nonthaburi,BOLIN,Venezuela
22,"P.O. Box 688, 6762 Massa Rd.",6.99,Baiyin,Iraq,34:06.5,23.99,DAVIS,89,17,153,5,2,Tahiti,BONE,Venezuela
26,897-7465 Lobortis Street,2.99,Baku,Israel,48:27.4,24.99,DAVIS,93,17,118,3,2,Lipetsk,BOSTIC,USA
53,421 Non Ave,0.99,Balaiha,Italy,44:18.0,22.99,DAY-LEWIS,94,17,162,6,2,Antofagasta,BOUDREAU,Italy
68,Ap #530-1208 Proin Road,0.99,Balikesir,Japan,41:40.0,20.99,DEAN,96,17,182,3,2,Moscow (City),BOURQUE,Belgium
108,Ap #933-6706 Diam Avenue,5.99,Balurghat,Kazakstan,48:11.8,10.99,DEAN,98,18,75,5,2,Cear,BOWENS,Canada
130,"P.O. Box 593, 9511 Ante Rd.",6.99,Bamenda,Kenya,56:15.0,29.99,DEE,100,18,173,6,2,Tatarstan,BOWMAN,Germany
175,Ap #236-9266 Cras Ave,2.99,Bandar Seri Begawan,Kuwait,43:02.1,25.99,DEE,101,19,87,5,2,Mekka,BOX,UK
194,600-3121 Lectus Av.,2.99,Banjul,Latvia,42:48.1,15.99,DEGENERES,102,19,113,5,2,Khartum,BOYD,Argentina
29,"P.O. Box 867, 1566 Libero Street",2.99,Barcelona,Liechtenstein,32:18.0,27.99,DEGENERES,103,19,65,6,2,California,BRADLEY,USA
35,Ap #822-8555 Nunc Road,4.99,Basel,Lithuania,42:06.0,15.99,DEGENERES,104,20,129,6,2,Galicia,BREAUX,Germany
37,"2239 Dolor, Avenue",5.99,Bat Yam,Madagascar,42:49.2,18.99,DENCH,105,20,90,4,2,Chiba,BREWER,France
64,"P.O. Box 445, 6169 Malesuada Rd.",4.99,Batman,Malawi,50:40.1,16.99,DENCH,106,20,122,6,2,Yamaguchi,BRINSON,Mexico
117,"P.O. Box 486, 9776 Eu Road",4.99,Batna,Malaysia,49:03.9,20.99,DEPP,107,20,160,4,2,Moskova,BROOKS,Austria
142,212-6422 Morbi Road,1.99,Battambang,Mexico,37:41.5,22.99,DEPP,108,21,89,3,3,Tahiti,BROTHERS,Portugal
157,1399 Tellus Road,2.99,Baybay,Moldova,39:07.7,28.99,DERN,111,21,175,5,3,Vaduz,BROWN,Brazil
188,963-458 Et Rd.,8.99,Bayugan,Morocco,59:49.5,23.99,DREYFUSS,115,21,106,5,3,Sarawak,BROWNLEE,Brazil
40,4447 Quisque Ave,6.99,Bchar,Mozambique,55:09.5,21.99,DUKAKIS,116,22,73,6,3,Karnataka,BRYANT,Germany
81,"Ap #604-1822 Ullamcorper, Ave",6.99,Beira,Myanmar,55:04.0,26.99,DUKAKIS,117,22,151,6,3,Rajasthan,BUFORD,Argentina
90,4940 Mi Avenue,2.99,Bellevue,Nauru,34:05.2,20.99,DUNST,118,22,100,3,3,Basel-Stadt,BULL,USA
174,2624 Donec Avenue,4.99,Belm,Nepal,57:23.8,27.99,FAWCETT,119,23,53,6,3,Missouri,BUNN,Italy
37,Ap #423-9137 Mollis. Street,4.99,Benguela,Netherlands,43:47.9,24.99,FAWCETT,121,23,77,5,3,Nebraska,BURK,Brazil
75,Ap #543-4734 Maecenas Av.,5.99,Beni-Mellal,New Zealand,52:54.4,26.99,GABLE,122,23,122,5,3,Sichuan,BURKE,Switzerland
105,475-5792 Egestas Ave,10.99,Benin City,Nigeria,43:22.4,21.99,GARLAND,124,23,85,3,3,Cayenne,BURLESON,Spain
109,"P.O. Box 898, 161 In Street",7.99,Bergamo,North Korea,38:05.6,26.99,GARLAND,125,23,142,7,3,Skne ln,BURNS,Norway
146,"P.O. Box 520, 3971 Sit Rd.",6.99,Berhampore (Baharampur),Oman,55:57.4,25.99,GARLAND,126,24,100,3,3,Hunan,BURTON,USA
177,Ap #912-8759 Mi. Avenue,4.99,Bern,Pakistan,33:25.0,12.99,GIBSON,128,24,93,6,3,Madhya Pradesh,BUSTAMANTE,UK
180,"P.O. Box 508, 5021 Ac St.",4.99,Bhavnagar,Paraguay,34:22.8,22.99,GOLDBERG,129,24,150,5,3,Bchar,BUTLER,Denmark
77,804-3143 Pellentesque Av.,2.99,Bhilwara,Peru,56:54.7,18.99,GOODING,130,24,162,4,3,Mekka,BUTTERFIELD,France
91,"P.O. Box 263, 5852 Eget St.",1.99,Bhimavaram,Philippines,45:48.2,14.99,GOODING,133,25,163,6,3,Eastern Visayas,BYRD,USA
94,6717 Venenatis Road,3.99,Bhopal,Poland,48:23.1,23.99,GRANT,134,25,103,4,3,National Capital Reg,CABRAL,Belgium
114,735-844 Lobortis. Avenue,2.99,Bhusawal,Puerto Rico,40:59.0,15.99,GUINESS,138,25,61,5,3,Chiayi,CALDWELL,USA
176,"P.O. Box 784, 7678 Nonummy St.",4.99,Bijapur,Romania,54:47.4,12.99,GUINESS,139,26,85,7,3,So Paulo,CAMPBELL,USA
28,Ap #174-7867 Nibh Rd.,5.99,Bilbays,Runion,33:21.6,10.99,GUINESS,140,26,114,5,3,Changhwa,CARBONE,Germany
85,9584 Cursus Rd.,4.99,Binzhou,Russian Federation,41:54.6,21.99,HACKMAN,141,26,148,7,3,Pavlodar,CARLSON,Mexico
137,659-7946 Eros. Rd.,8.99,Birgunj,Saint Vincent and the Grenadines,56:45.5,29.99,HACKMAN,142,26,103,6,3,So Paulo,CARPENTER,Brazil
188,999-1832 Lacinia Av.,2.99,Bislig,Saudi Arabia,53:08.1,13.99,HARRIS,143,26,71,3,3,Uttar Pradesh,CARR,USA
36,241-151 Litora Ave,8.99,Blumenau,Senegal,59:45.9,18.99,HARRIS,144,27,50,5,3,Kanagawa,CARRANZA,Denmark
69,"2437 Mauris, Street",0.99,Boa Vista,Slovakia,42:06.0,13.99,HARRIS,145,27,102,7,3,Oyo & Osun,CARROLL,France
105,"P.O. Box 298, 2148 Tincidunt Rd.",2.99,Boksburg,South Africa,35:32.0,29.99,HAWKE,146,27,63,4,3,Mahajanga,CARTER,France
117,8355 Eu Street,4.99,Botosani,South Korea,40:28.0,11.99,HESTON,148,27,121,6,4,Krim,CARY,Germany
164,"7511 Adipiscing, Av.",0.99,Botshabelo,Spain,33:38.0,14.99,HOFFMAN,149,28,76,7,4,Gauteng,CASILLAS,Finland
170,333-4080 Sed St.,2.99,Bradford,Sri Lanka,47:04.1,17.99,HOFFMAN,152,28,179,7,4,Puebla,CASTILLO,Brazil
12,"413-8966 Eu, Rd.",0.99,Braslia,Sudan,35:06.1,22.99,HOFFMAN,155,29,63,7,4,England,CASTRO,USA
57,"P.O. Box 166, 9222 Turpis Av.",0.99,Bratislava,Sweden,36:10.7,11.99,HOPE,156,29,63,3,4,Songkhla,CAUSEY,Finland
146,"P.O. Box 604, 4604 Adipiscing. Av.",5.99,Brescia,Switzerland,38:22.7,17.99,HOPKINS,158,29,98,5,4,Sucre,CHAMBERS,Poland
191,Ap #865-930 Duis Av.,2.99,Brest,Taiwan,31:45.5,19.99,HOPKINS,159,30,72,7,4,Cheju,CHAPA,
192,4965 Neque Ave,2.99,Brindisi,Tanzania,31:49.9,27.99,HOPKINS,161,30,121,4,4,Buenos Aires,CHAPMAN,
3,5378 Tortor Ave,3.99,Brockton,Thailand,57:50.5,14.99,HOPPER,163,30,176,7,4,Guangdong,CHAVEZ,
12,2658 Interdum St.,5.99,Bucuresti,Tonga,44:36.4,18.99,HOPPER,166,30,123,5,4,Brunei and Muara,CHEATHAM,
13,Ap #772-4108 Fames Road,5.99,Buenaventura,Tunisia,40:12.2,21.99,HUDSON,168,30,169,4,4,Gois,CHESTNUT,
82,379-947 Nisl. Av.,0.99,Bydgoszcz,Turkey,44:39.7,24.99,HUNT,170,31,56,7,4,Inner Mongolia,CHISHOLM,
100,Ap #835-6311 Aliquet Rd.,2.99,Cabuyao,Turkmenistan,41:32.9,12.99,HURT,172,31,73,4,4,Caraga,CHOATE,
160,560-1415 Mauris Rd.,4.99,Callao,Tuvalu,33:43.1,14.99,JACKMAN,173,32,136,7,4,Punjab,CHRISTENSON,
167,Ap #673-2007 Eu Rd.,2.99,Cam Ranh,Ukraine,48:41.0,21.99,JACKMAN,175,32,161,7,4,Georgia,CHURCHILL,
187,"820-1146 Sapien, St.",8.99,Cape Coral,United Arab Emirates,31:42.2,26.99,JOHANSSON,176,33,73,3,4,Tete,CINTRON,
45,228-4044 Dictum Rd.,1.99,Caracas,United Kingdom,36:17.3,20.99,JOHANSSON,179,33,60,4,4,Abu Dhabi,CLARK,
142,"P.O. Box 393, 8443 Tristique Rd.",2.99,Carmen,United States,38:47.2,27.99,JOHANSSON,182,33,133,7,4,Kyongsangbuk,CLARY,
144,937-5103 Molestie Ave,6.99,Cavite,Venezuela,41:49.9,17.99,JOLIE,184,33,119,4,4,Lipetsk,COLBY,
162,4216 Cras Road,4.99,Cayenne,Vietnam,48:55.1,21.99,JOVOVICH,185,34,125,6,4,Asir,COLE,
5,Ap #413-7445 Sit St.,2.99,Celaya,"Virgin Islands, U.S.",51:54.4,14.99,KEITEL,188,34,61,4,4,Ha Darom,COLEMAN,
27,446-8199 Sed Rd.,1.99,Chandrapur,Yemen,50:05.0,13.99,KEITEL,189,34,63,4,4,Kwara & Kogi,COLLAZO,
37,799-9331 Sit Rd.,0.99,Changhwa,Yugoslavia,31:49.6,19.99,KEITEL,191,35,67,6,5,Provence-Alpes-Cte,COLLINS,
43,386 Felis St.,6.99,Changzhou,Zambia,37:34.8,17.99,KILMER,192,35,89,3,5,Funafuti,COOK,
84,6608 Urna. St.,1.99,Chapra,,55:51.2,25.99,KILMER,195,35,53,4,5,Ivanovo,COOPER,
104,Ap #368-1297 In St.,3.99,Charlotte Amalie,,30:30.8,17.99,KILMER,196,35,52,3,5,Buenos Aires,CORNISH,
52,Ap #834-4068 Nonummy Street,2.99,Chatsworth,,59:44.3,22.99,KILMER,201,36,120,4,5,Mxico,CORNWELL,
102,"P.O. Box 395, 7080 Odio. St.",4.99,Cheju,,37:19.4,19.99,KILMER,203,36,75,4,5,North West,COUGHLIN,
136,Ap #633-2112 Dui. Ave,2.99,Chiayi,,49:18.6,26.99,LEIGH,204,37,61,3,5,Hubei,COX,
139,"P.O. Box 436, 5499 Nibh. Road",4.99,Chisinau,,57:26.8,27.99,LOLLOBRIGIDA,206,37,167,5,5,Distrito Federal,COY,
155,302 Tortor Road,4.99,Chungho,,53:04.5,10.99,MALDEN,207,37,70,4,5,California,CRAIG,
159,4628 Pellentesque Rd.,2.99,Cianjur,,45:17.6,15.99,MANSFIELD,208,37,135,6,5,Sucre,CRAWFORD,
25,Ap #199-4014 Sodales. St.,4.99,Ciomas,,57:39.3,26.99,MARX,211,37,85,7,5,Nordrhein-Westfalen,CRAWLEY,
26,2368 Vulputate Avenue,5.99,Ciparay,,31:28.7,22.99,MCCONAUGHEY,213,38,176,6,5,Mxico,CROMWELL,
105,Ap #816-4123 Donec Avenue,1.99,Citrus Heights,,51:48.9,16.99,MCCONAUGHEY,214,38,92,3,5,Central Java,CROUSE,
119,4787 Sapien Street,0.99,Citt del Vaticano,,42:54.9,15.99,MCDORMAND,216,38,151,4,5,Gujarat,CRUZ,
126,Ap #613-9153 Lorem Road,8.99,Ciudad del Este,,53:08.6,11.99,MCKELLEN,218,39,114,7,5,Texas,CULP,
77,5496 Nisl. Avenue,3.99,Clarksville,,53:24.1,22.99,MCKELLEN,221,39,85,6,5,al-Qalyubiya,CULPEPPER,
95,735-5786 Luctus Road,4.99,Coacalco de Berriozbal,,52:51.5,16.99,MCQUEEN,223,39,163,3,5,Risaralda,CUNNINGHAM,
122,Ap #879-4059 Tempus Street,0.99,Coatzacoalcos,,57:31.7,19.99,MCQUEEN,225,39,61,5,5,Uttar Pradesh,CURLEY,
124,Ap #732-6055 Non Rd.,0.99,Compton,,33:12.6,16.99,MIRANDA,227,39,179,3,5,Lima,CURRIER,
1,"P.O. Box 510, 8199 Interdum. Rd.",3.99,Coquimbo,,44:22.9,14.99,MONROE,229,40,112,5,5,Uttar Pradesh,CURTIS,
4,"P.O. Box 438, 5439 Adipiscing Avenue",2.99,Crdoba,,59:30.3,10.99,MONROE,231,40,183,7,5,Ktahya,DANIELS,
22,"P.O. Box 603, 1333 Cursus Street",1.99,Cuauhtmoc,,41:26.0,16.99,MOSTEL,234,40,179,3,5,Gauteng,DAVIDSON,
150,Ap #971-5196 Justo. Av.,4.99,Cuautla,,56:53.3,24.99,MOSTEL,235,40,110,7,5,So Paulo,DAVIS,
164,7960 Dui. Road,3.99,Cuernavaca,,30:38.0,12.99,NEESON,236,40,152,5,5,Smolensk,DAY,
38,971-8302 Tellus. St.,4.99,Cuman,,32:53.9,25.99,NEESON,237,41,114,6,5,Slaskie,DEAN,
42,"P.O. Box 646, 5818 Egestas Rd.",0.99,Czestochowa,,42:28.4,14.99,NICHOLSON,238,41,117,7,5,Shandong,DELOACH,
67,"Ap #461-4454 Scelerisque, Road",4.99,Dadu,,41:51.7,21.99,NOLTE,240,41,51,4,5,Gois,DELUCA,
157,"P.O. Box 327, 149 Pharetra Avenue",4.99,Dallas,,57:59.0,22.99,NOLTE,242,42,70,3,5,Taka-Karpatia,DELVALLE,
179,"Ap #454-9125 Consectetuer, Road",3.99,Datong,,43:09.6,26.99,NOLTE,243,42,146,7,5,Free State,DEVORE,
1,"P.O. Box 118, 7111 Mauris Avenue",9.99,Daugavpils,,31:45.9,21.99,NOLTE,245,42,66,3,5,Coahuila de Zaragoza,DIAZ,
4,2280 Pede. Street,2.99,Davao,,46:25.2,29.99,OLIVIER,246,43,71,5,5,al-Qalyubiya,DIXON,
7,877-7535 Iaculis Ave,1.99,Daxian,,52:37.1,21.99,OLIVIER,247,43,114,7,5,Maharashtra,DOUGLAS,
47,"P.O. Box 424, 361 Porttitor Road",0.99,Dayton,,58:54.7,23.99,PALTROW,248,44,87,6,5,Karnataka,DOUGLASS,
91,5695 Tellus. Av.,6.99,Deba Habe,,32:06.4,11.99,PALTROW,253,44,185,6,5,Gelderland,DOWD,
136,Ap #469-6210 Varius Street,6.99,Denizli,,48:52.8,24.99,PECK,258,45,122,3,5,Inner Mongolia,DUGGAN,
166,"Ap #789-7163 Ut, Av.",2.99,Dhaka,,41:43.2,17.99,PECK,260,45,142,6,5,Ynlin,DUNCAN,
167,427-1227 Proin Av.,0.99,Dhule (Dhulia),,41:31.9,24.99,PECK,261,46,61,7,5,Tennessee,DUNN,
187,"158-9137 Montes, Rd.",0.99,Dongying,,41:37.6,25.99,PENN,263,46,124,5,5,Hiroshima,EAST,
71,7164 In Av.,4.99,Donostia-San Sebastin,,39:56.8,24.99,PENN,264,46,107,6,6,Scotland,EASTER,
128,"Ap #697-177 Quam, St.",2.99,Dos Quebradas,,49:12.8,16.99,PESCI,267,46,101,5,6,Kilis,EBERT,
130,9683 Faucibus Street,0.99,Duisburg,,45:36.9,13.99,PFEIFFER,268,47,132,3,6,Minsk,EDWARDS,
7,Ap #984-584 Fringilla Street,3.99,Dundee,,32:32.2,21.99,PHOENIX,269,47,150,7,6,Gauteng,EGGLESTON,
55,6671 Aliquam Ave,2.99,Dzerzinsk,,57:28.6,9.99,PINKETT,270,48,101,7,6,Michigan,ELLINGTON,
99,"P.O. Box 685, 5181 Ligula. St.",0.99,Ede,,37:14.5,26.99,PITT,271,48,143,5,6,Saitama,ELLIOTT,
110,Ap #573-3380 Ante St.,0.99,Effon-Alaiye,,42:44.0,13.99,POSEY,272,49,90,5,6,Saint-Denis,ELLIS,
140,"P.O. Box 491, 5856 Aliquet. Road",0.99,El Alto,,48:46.0,18.99,PRESLEY,274,49,165,7,6,Massachusetts,ELROD,
148,Ap #561-3333 Adipiscing St.,2.99,El Fuerte,,41:49.3,12.99,REYNOLDS,276,49,81,6,6,Michoacn de Ocampo,ELY,
154,"P.O. Box 700, 754 Non, Rd.",0.99,El Monte,,59:44.4,26.99,RYDER,283,50,150,6,6,Shandong,EMMONS,
170,"P.O. Box 872, 4834 A, Ave",5.99,Elista,,46:35.3,15.99,SILVERSTONE,284,50,164,3,6,Assam,ESTEP,
179,Ap #884-562 Non Road,7.99,Emeishan,,31:15.7,29.99,SILVERSTONE,285,50,143,7,6,Jakarta Raya,EVANS,
74,"P.O. Box 778, 204 At Rd.",0.99,Emmen,,58:06.9,16.99,SINATRA,286,50,124,6,6,Shanxi,FARNSWORTH,
162,534-5884 Vel St.,2.99,Enshi,,39:31.3,12.99,SOBIESKI,288,51,58,5,6,Bern,FENNELL,
6,Ap #599-7821 Et Street,2.99,Erlangen,,47:51.5,12.99,STALLONE,289,51,65,4,6,Ondo & Ekiti,FERGUSON,
13,220-6478 Ut Avenue,0.99,Escobar,,49:35.4,27.99,STREEP,290,51,70,6,6,Pyongyang-si,FERNANDEZ,
105,556-1105 Et Street,2.99,Esfahan,,41:32.9,13.99,STREEP,291,51,95,4,6,North Carolina,FIELDS,
122,550-2310 Lacus Road,2.99,Eskisehir,,56:33.6,29.99,SUVARI,295,52,139,4,6,North Austria,FISHER,
175,"Ap #684-4362 Rutrum, Ave",3.99,Etawah,,46:49.4,20.99,SWANK,297,52,55,4,6,Moskova,FLEMING,
187,Ap #192-5739 In St.,6.99,Ezeiza,,36:50.3,27.99,TANDY,298,52,70,7,6,Tel Aviv,FLETCHER,
197,8483 Sodales. St.,0.99,Ezhou,,52:34.9,19.99,TANDY,300,52,149,6,6,Pays de la Loire,FLORES,
9,6045 Eu Rd.,0.99,Faaa,,52:53.7,10.99,TAUTOU,302,53,109,6,6,Gifu,FORD,
163,"P.O. Box 283, 2409 Nibh. Avenue",2.99,Fengshan,,37:00.2,23.99,TEMPLE,305,53,67,5,6,Adana,FORMAN,
178,498-718 Tellus Ave,6.99,Firozabad,,40:46.1,19.99,TEMPLE,306,53,76,3,6,Xinxiang,FORSYTHE,
2,438-6238 Eu Avenue,7.99,Florencia,,43:21.0,28.99,TEMPLE,308,53,120,5,6,Lilongwe,FORTIER,
15,"P.O. Box 741, 1221 Posuere, St.",4.99,Fontana,,46:26.2,13.99,TEMPLE,309,53,59,6,6,Maharashtra,FORTNER,
49,Ap #815-8848 Donec Av.,5.99,Fukuyama,,39:47.9,12.99,TOMEI,314,54,112,7,6,Gansu,FOSTER,
60,Ap #222-5031 Dis Rd.,0.99,Funafuti,,33:07.8,25.99,TORN,316,54,65,7,6,Jiangxi,FOUST,
79,"416-2261 Non, St.",5.99,Fuyu,,38:32.9,13.99,TORN,318,55,180,6,7,Rajasthan,FOWLER,
158,658 In Avenue,0.99,Fuzhou,,36:34.8,27.99,TORN,321,55,122,3,7,Perak,FOX,
162,3505 Nulla Avenue,2.99,Gandhinagar,,49:18.0,21.99,TRACY,322,55,87,6,7,Batman,FRALEY,
168,2789 Egestas. Street,4.99,Garden Grove,,52:40.2,20.99,TRACY,325,56,172,4,7,Steiermark,FRANCISCO,
183,4095 Libero St.,5.99,Garland,,32:44.4,25.99,VOIGHT,326,56,115,6,7,Miranda,FRANKLIN,
79,"P.O. Box 496, 6865 Et Av.",0.99,Gatineau,,58:35.7,14.99,WAHLBERG,330,56,173,4,7,Kerala,FRAZIER,
82,"P.O. Box 768, 5858 Sit St.",2.99,Gaziantep,,57:54.5,27.99,WAHLBERG,331,57,184,4,7,Skikda,FREEMAN,
136,"P.O. Box 684, 9754 Lectus Ave",0.99,Gijn,,52:34.5,10.99,WALKEN,332,57,166,7,7,Tamaulipas,FULLER,
146,8494 Mollis Rd.,4.99,Gingoog,,48:36.3,9.99,WAYNE,335,58,185,7,7,So Paulo,FULTZ,
162,Ap #415-1832 Aliquam Avenue,0.99,Goinia,,52:24.4,14.99,WEST,336,58,112,4,7,Kirov,GAFFNEY,
170,362-3358 Sit Street,5.99,Gorontalo,,47:58.0,24.99,WEST,337,58,92,3,7,Risaralda,GAITHER,
180,2383 Dictum Ave,2.99,Grand Prairie,,31:05.0,10.99,WILLIAMS,338,58,146,3,7,Tennessee,GAMEZ,
182,3936 Lorem Road,5.99,Graz,,50:01.4,17.99,WILLIAMS,340,58,64,6,7,California,GANDY,
12,"P.O. Box 172, 4075 Tellus. St.",4.99,Greensboro,,40:34.2,12.99,WILLIAMS,341,59,57,5,7,Gois,GANNON,
26,"P.O. Box 876, 9427 Lectus St.",8.99,Guadalajara,,33:38.4,24.99,WILLIS,342,59,136,7,7,Noord-Brabant,GARCIA,
27,6674 Metus. Ave,7.99,Guaruj,,56:24.7,23.99,WILLIS,343,59,139,3,7,Chaharmahal va Bakht,GARDINER,
40,"P.O. Box 855, 5320 Fringilla Rd.",1.99,guas Lindas de Gois,,32:49.2,23.99,WILLIS,344,59,172,5,7,West Bengali,GARDNER,
